function,taylor_expansion
-3*sqrt(x + 1) + 3*log(x + 1) + 2*cos(x)**2,13*x**4/384 + 13*x**3/16 - 25*x**2/8 + 3*x/2 - 1
cos(2*x)/2 + cosh(x)/2 + tanh(x)/2,17*x**4/48 - x**3/6 - 3*x**2/4 + x/2 + 1
log(x + 1)/3 + tanh(x),-x**4/12 - 2*x**3/9 - x**2/6 + 4*x/3
-3*log(x + 1) - 3*sin(x) + 2*cosh(x) - exp(-x),19*x**4/24 - x**3/3 + 2*x**2 - 5*x + 1
2*sin(2*x) + 2*exp(-x),x**4/12 - 3*x**3 + x**2 + 2*x + 2
-x**3 + 2*x*cos(x) + 3*exp(x) + 2*tanh(x),x**4/8 - 13*x**3/6 + 3*x**2/2 + 7*x + 3
-2*x*sin(x) - 3*tan(x),x**4/3 - x**3 - 2*x**2 - 3*x
x/3 - 3*sin(2*x),4*x**3 - 17*x/3
-x**2 - cos(2*x) - 2*sinh(x) + 1/(x + 1),x**4/3 - 4*x**3/3 + 2*x**2 - 3*x
x/2 - 2*sin(x) + 3*cos(x)**2,x**4 + x**3/3 - 3*x**2 - 3*x/2 + 3
tan(x)/3 + 3*cosh(x) + 1/(2*(x + 1)),5*x**4/8 - 7*x**3/18 + 2*x**2 - x/6 + 7/2
-x*cos(x) + exp(x)/2 - 3*cos(x),-5*x**4/48 + 7*x**3/12 + 7*x**2/4 - x/2 - 5/2
2*sin(x)**2 - 3*sin(2*x),-2*x**4/3 + 4*x**3 + 2*x**2 - 6*x
x**2/2 - 2*x*cos(x) - tanh(x) - 1/(x + 1),-x**4 + 7*x**3/3 - x**2/2 - 2*x - 1
2*x + sin(x)/2 + cos(x)**2/2 + cos(x)/3,13*x**4/72 - x**3/12 - 2*x**2/3 + 5*x/2 + 5/6
2*exp(x) + log(x + 1)/3 - 3*exp(-x),-x**4/8 + 17*x**3/18 - 2*x**2/3 + 16*x/3 - 1
3*x*cos(x) - 2*sin(x)**2 + cos(2*x)/2 + 3/(x + 1),4*x**4 - 9*x**3/2 + 7/2
x**3 - 3*exp(-x),-x**4/8 + 3*x**3/2 - 3*x**2/2 + 3*x - 3
sin(2*x)/3 + 3*exp(-x),x**4/8 - 17*x**3/18 + 3*x**2/2 - 7*x/3 + 3
-x**3 + x*cos(x)/3 + 2*cos(2*x),4*x**4/3 - 7*x**3/6 - 4*x**2 + x/3 + 2
sin(2*x)/2 - 2*cos(x)**2 - tan(x),-2*x**4/3 - x**3 + 2*x**2 - 2
-3*x**3 + log(x + 1)/2 + 2*cos(x),-x**4/24 - 17*x**3/6 - 5*x**2/4 + x/2 + 2
2*x**2 + sin(x)**2 - cos(2*x),-x**4 + 5*x**2 - 1
2*x**2 - x*sin(x) + cos(2*x),5*x**4/6 - x**2 + 1
-2*x*cos(x) + cos(x)**2/3 - tan(x) + exp(-x)/3,x**4/8 + 11*x**3/18 - x**2/6 - 10*x/3 + 2/3
2*x**3 + sin(x)**2/2 - 2*cos(x),-x**4/4 + 2*x**3 + 3*x**2/2 - 2
-2*cos(x) - cos(2*x) + 3*tanh(x),-3*x**4/4 - x**3 + 3*x**2 + 3*x - 3
x*cos(x)/2 + sin(x)/2 + cos(x)/2,x**4/48 - x**3/3 - x**2/4 + x + 1/2
x + 3*cos(2*x) + 2*cosh(x) + tanh(x)/2,25*x**4/12 - x**3/6 - 5*x**2 + 3*x/2 + 5
3*log(x + 1) - 2*sin(x) + 2*tanh(x),-3*x**4/4 + 2*x**3/3 - 3*x**2/2 + 3*x
-cos(2*x) - 1/(x + 1),-5*x**4/3 + x**3 + x**2 + x - 2
-2*log(x + 1) + cos(2*x) + cosh(x),29*x**4/24 - 2*x**3/3 - x**2/2 - 2*x + 2
log(x + 1)/3 + 3*sin(x)**2 - 2*sin(2*x) - 2/(x + 1),-37*x**4/12 + 43*x**3/9 + 5*x**2/6 - 5*x/3 - 2
x**3 - x*sin(x),x**4/6 + x**3 - x**2
-2*sin(x) - cos(x) + tan(x) + exp(-x)/3,-x**4/36 + 11*x**3/18 + 2*x**2/3 - 4*x/3 - 2/3
3*x - 2*log(x + 1) + cos(2*x) - 3*exp(-x),25*x**4/24 - x**3/6 - 5*x**2/2 + 4*x - 2
-3*x - exp(x) + 1/(x + 1),23*x**4/24 - 7*x**3/6 + x**2/2 - 5*x
exp(x)/2 - 3*log(x + 1) + sin(x)/3,37*x**4/48 - 35*x**3/36 + 7*x**2/4 - 13*x/6 + 1/2
-x*sin(x) - 3*cos(x) - cos(2*x),-5*x**4/8 + 5*x**2/2 - 4
x/2 + 2*exp(x) + sin(2*x)/3 + 2/(x + 1),25*x**4/12 - 19*x**3/9 + 3*x**2 + 7*x/6 + 4
3*x*sin(x) + 1/(3*(x + 1)),-x**4/6 - x**3/3 + 10*x**2/3 - x/3 + 1/3
-x**3 + 2*x*sin(x) + x - sin(x),-x**4/3 - 5*x**3/6 + 2*x**2
-2*x*cos(x) + log(x + 1)/2 + tan(x),-x**4/8 + 3*x**3/2 - x**2/4 - x/2
-2*log(x + 1) + cos(x)/3 + cos(2*x)/3 - cosh(x),25*x**4/36 - 2*x**3/3 - x**2/3 - 2*x - 1/3
-3*x**3 + cos(x)**2 - 2*sinh(x) + exp(-x)/3,25*x**4/72 - 61*x**3/18 - 5*x**2/6 - 7*x/3 + 4/3
cos(x)**2/2 + 2*tan(x) + sinh(x)/3 - 3*exp(-x),x**4/24 + 11*x**3/9 - 2*x**2 + 16*x/3 - 5/2
-3*log(x + 1) + 2*cosh(x),5*x**4/6 - x**3 + 5*x**2/2 - 3*x + 2
x*cos(x)/3 + cos(x)/3 + sinh(x),x**4/72 - x**2/6 + 4*x/3 + 1/3
-x**3 - 3*cos(2*x) - sinh(x),-2*x**4 - 7*x**3/6 + 6*x**2 - x - 3
-2*tan(x) + sinh(x) + cosh(x)/2,x**4/48 - x**3/2 + x**2/4 - x + 1/2
x**3/3 + sinh(x)/2,5*x**3/12 + x/2
3*sqrt(x + 1) - 3*sin(2*x) + 2*tan(x),-15*x**4/128 + 233*x**3/48 - 3*x**2/8 - 5*x/2 + 3
x/2 - 2*exp(x) - sin(x)**2 + 3*sin(x),x**4/4 - 5*x**3/6 - 2*x**2 + 3*x/2 - 2
-3*x*cos(x) + cos(x)/3 - exp(-x) + 1/(3*(x + 1)),11*x**4/36 + 4*x**3/3 - x**2/3 - 7*x/3 - 1/3
2*x*sin(x) + x/3,-x**4/3 + 2*x**2 + x/3
3*tan(x) + cosh(x)/2 - 2*tanh(x),x**4/48 + 5*x**3/3 + x**2/4 + x + 1/2
x*sin(x)/3 + 2*cos(x)**2 + tan(x),11*x**4/18 + x**3/3 - 5*x**2/3 + x + 2
3*sin(x)**2 - cos(x)**2 + tan(x)/2,-4*x**4/3 + x**3/6 + 4*x**2 + x/2 - 1
-3*x*cos(x) + 2*log(x + 1) - cosh(x),-13*x**4/24 + 13*x**3/6 - 3*x**2/2 - x - 1
-sinh(x) + cosh(x)/3 - 2/(x + 1),-143*x**4/72 + 11*x**3/6 - 11*x**2/6 + x - 5/3
x*cos(x) + sin(x) + exp(-x)/2,x**4/48 - 3*x**3/4 + x**2/4 + 3*x/2 + 1/2
3*tanh(x) + 2*exp(-x) - 2/(x + 1),-23*x**4/12 + 2*x**3/3 - x**2 + 3*x
x*sin(x)/3 + 2*sin(x)**2 + sin(x)/3 + tan(x)/3,-13*x**4/18 + x**3/18 + 7*x**2/3 + 2*x/3
3*x**2 + 2*sinh(x) + cosh(x)/3,x**4/72 + x**3/3 + 19*x**2/6 + 2*x + 1/3
-cos(x) + cos(2*x)/2 - 3*sinh(x),7*x**4/24 - x**3/2 - x**2/2 - 3*x - 1/2
2*x**2 + 3*cos(x)**2 + tanh(x)/3,x**4 - x**3/9 - x**2 + x/3 + 3
x*sin(x)/3 + x/3,-x**4/18 + x**2/3 + x/3
sin(x)/2 + cos(x)**2 + tanh(x) + 2*exp(-x),5*x**4/12 - 3*x**3/4 - x/2 + 3
sqrt(x + 1)/3 + sin(x)**2/2 - 2*cos(x),-101*x**4/384 + x**3/48 + 35*x**2/24 + x/6 - 5/3
-x*sin(x) - 2*exp(x) + cos(2*x)/2,5*x**4/12 - x**3/3 - 3*x**2 - 2*x - 3/2
3*log(x + 1) + 1/(x + 1),x**4/4 - x**2/2 + 2*x + 1
sqrt(x + 1) + sin(x)**2 + sinh(x)/3,-143*x**4/384 + 17*x**3/144 + 7*x**2/8 + 5*x/6 + 1
-2*cos(x) - exp(-x),-x**4/8 + x**3/6 + x**2/2 + x - 3
sin(2*x)/2 + cos(x)/2 - 2*tan(x),x**4/48 - 4*x**3/3 - x**2/4 - x + 1/2
2*x*sin(x) + log(x + 1)/3 + 2*cosh(x) + 2*tanh(x),-x**4/3 - 5*x**3/9 + 17*x**2/6 + 7*x/3 + 2
3*sin(2*x) + tan(x)/3 - 2*cosh(x),-x**4/12 - 35*x**3/9 - x**2 + 19*x/3 - 2
x*cos(x)/2 + 3*x + 3*sin(x) + exp(-x)/2,x**4/48 - 5*x**3/6 + x**2/4 + 6*x + 1/2
-3*cos(2*x) + 3*exp(-x),-15*x**4/8 - x**3/2 + 15*x**2/2 - 3*x
2*sqrt(x + 1) + 3*sin(x) - 2*exp(-x),-31*x**4/192 - x**3/24 - 5*x**2/4 + 6*x
x/3 - 2*log(x + 1) + sin(x) + 3*exp(-x),5*x**4/8 - 4*x**3/3 + 5*x**2/2 - 11*x/3 + 3
-x**3 - 3*sqrt(x + 1) + cos(x)**2/2,109*x**4/384 - 19*x**3/16 - x**2/8 - 3*x/2 - 5/2
-3*x + 2*sqrt(x + 1) + 2*cosh(x),x**4/192 + x**3/8 + 3*x**2/4 - 2*x + 4
-x**3 - 3*sin(x)**2 + sin(x)/2 - cos(x)**2,2*x**4/3 - 13*x**3/12 - 2*x**2 + x/2 - 1
3*log(x + 1) + cos(x)/2 + 2*cos(2*x) + 2*sinh(x),29*x**4/48 + 4*x**3/3 - 23*x**2/4 + 5*x + 5/2
log(x + 1) + 2*sin(2*x) + 1/(3*(x + 1)),x**4/12 - 8*x**3/3 - x**2/6 + 14*x/3 + 1/3
3*log(x + 1) - 3*sin(x)**2 + cos(x)/2,13*x**4/48 + x**3 - 19*x**2/4 + 3*x + 1/2
-2*x*cos(x) + 2*cos(x),x**4/12 + x**3 - x**2 - 2*x + 2
x*sin(x) - x*cos(x) + 2*log(x + 1) - cos(2*x),-4*x**4/3 + 7*x**3/6 + 2*x**2 + x - 1
-3*x*cos(x) - 3*x + 3*sqrt(x + 1) - 3/(x + 1),-399*x**4/128 + 75*x**3/16 - 27*x**2/8 - 3*x/2
-x**3 - 3*x**2 - 2*cosh(x),-x**4/12 - x**3 - 4*x**2 - 2
2*cos(x) - 2*exp(-x),x**3/3 - 2*x**2 + 2*x
exp(x)/2 + 2*sin(x) - 3*tanh(x),x**4/48 + 3*x**3/4 + x**2/4 - x/2 + 1/2
x/3 - 2*cos(x)**2,-2*x**4/3 + 2*x**2 + x/3 - 2
x**3/2 + x*sin(x)/2 - cosh(x) - 3/(x + 1),-25*x**4/8 + 7*x**3/2 - 3*x**2 + 3*x - 4
x*sin(x) - cos(x) - 2*exp(-x),-7*x**4/24 + x**3/3 + x**2/2 + 2*x - 3
-x*sin(x) + 2*sin(x) - 3*tan(x),x**4/6 - 4*x**3/3 - x**2 - x
x - 3*cos(x) + cos(2*x)/2,5*x**4/24 + x**2/2 + x - 5/2
-2*x**2 - sinh(x),-x**3/6 - 2*x**2 - x
-x**3 + x + 3*cos(2*x) + tan(x)/2,2*x**4 - 5*x**3/6 - 6*x**2 + 3*x/2 + 3
2*x + 2*sin(2*x) - 3*cos(x),-x**4/8 - 8*x**3/3 + 3*x**2/2 + 6*x - 3
-x**2 + log(x + 1)/3 - 3*sin(x) + tan(x)/3,-x**4/12 + 13*x**3/18 - 7*x**2/6 - 7*x/3
3*x**2 - 2*sin(x) + cosh(x),x**4/24 + x**3/3 + 7*x**2/2 - 2*x + 1
x*sin(x)/3 + x/3 - 2*sin(x)**2 + 3*sin(2*x),11*x**4/18 - 4*x**3 - 5*x**2/3 + 19*x/3
2*tan(x) + sinh(x)/3 - 3/(x + 1),-3*x**4 + 67*x**3/18 - 3*x**2 + 16*x/3 - 3
exp(x)/3 + cos(x)/3 - cos(2*x) + 2*tan(x),-23*x**4/36 + 13*x**3/18 + 2*x**2 + 7*x/3 - 1/3
-x**3 - 2*x*cos(x) + 3*sin(x)**2 + sinh(x)/3,-x**4 + x**3/18 + 3*x**2 - 5*x/3
-2*x**3 + log(x + 1)/2 - sin(2*x),-x**4/8 - x**3/2 - x**2/4 - 3*x/2
sin(x) + cos(2*x)/2 + 3*tanh(x),x**4/3 - 7*x**3/6 - x**2 + 4*x + 1/2
2*sinh(x) + 3/(x + 1),3*x**4 - 8*x**3/3 + 3*x**2 - x + 3
x*cos(x) + exp(x)/3 + 2*cos(x) - cos(2*x),-41*x**4/72 - 4*x**3/9 + 7*x**2/6 + 4*x/3 + 4/3
3*x*sin(x) + x*cos(x)/3 - 2*sqrt(x + 1),-27*x**4/64 - 7*x**3/24 + 13*x**2/4 - 2*x/3 - 2
2*x**2 + cos(x)**2/2 + cos(x) + tan(x)/2,5*x**4/24 + x**3/6 + x**2 + x/2 + 3/2
-cos(2*x) - 2*tan(x) + tanh(x)/3,-2*x**4/3 - 7*x**3/9 + 2*x**2 - 5*x/3 - 1
sqrt(x + 1)/2 + 2*cos(x)**2 + cosh(x)/3,1523*x**4/2304 + x**3/32 - 91*x**2/48 + x/4 + 17/6
2*sin(2*x) + cos(2*x)/3 + tanh(x),2*x**4/9 - 3*x**3 - 2*x**2/3 + 5*x + 1/3
-2*cos(x)**2 + tan(x)/2 + 3*exp(-x),-13*x**4/24 - x**3/3 + 7*x**2/2 - 5*x/2 + 1
3*sin(x) - 2*cos(x)**2 - 3*tan(x),-2*x**4/3 - 3*x**3/2 + 2*x**2 - 2
2*x + sqrt(x + 1) - tanh(x),-5*x**4/128 + 19*x**3/48 - x**2/8 + 3*x/2 + 1
-3*exp(x) + 3/(x + 1),23*x**4/8 - 7*x**3/2 + 3*x**2/2 - 6*x
-3*cos(2*x) + 3*cosh(x),-15*x**4/8 + 15*x**2/2
-sin(2*x) - 3*cos(x) + cosh(x)/3,-x**4/9 + 4*x**3/3 + 5*x**2/3 - 2*x - 8/3
sin(2*x)/2 + exp(-x)/2,x**4/48 - 3*x**3/4 + x**2/4 + x/2 + 1/2
-3*x**2 - 3*cos(x)**2 - 3*cosh(x),-9*x**4/8 - 3*x**2/2 - 6
-2*x + exp(-x),x**4/24 - x**3/6 + x**2/2 - 3*x + 1
3*x*sin(x) + cos(x)**2/3,-7*x**4/18 + 8*x**2/3 + 1/3
-2*sqrt(x + 1) - 3*exp(x) + 2*exp(-x),7*x**4/192 - 23*x**3/24 - x**2/4 - 6*x - 3
x*sin(x) + 3*x + cos(2*x)/3,x**4/18 + x**2/3 + 3*x + 1/3
2*x**3 + x + exp(x)/3,x**4/72 + 37*x**3/18 + x**2/6 + 4*x/3 + 1/3
x + 2*sqrt(x + 1) + 3*tan(x) + 2*tanh(x),-5*x**4/64 + 11*x**3/24 - x**2/4 + 7*x + 2
-3*x**3 + x**2 - 3*cos(x)**2 + sinh(x)/3,-x**4 - 53*x**3/18 + 4*x**2 + x/3 - 3
sqrt(x + 1)/3 + sin(2*x) - 2*cos(2*x) + tan(x)/3,-517*x**4/384 - 173*x**3/144 + 95*x**2/24 + 5*x/2 - 5/3
-2*exp(x) + cos(x)**2/3 + 2*tan(x) - 2*exp(-x),-x**4/18 + 2*x**3/3 - 7*x**2/3 + 2*x - 11/3
2*sin(2*x) - 3*exp(-x) + 1/(3*(x + 1)),5*x**4/24 - 5*x**3/2 - 7*x**2/6 + 20*x/3 - 8/3
2*cos(2*x) - 3*sinh(x) + exp(-x),11*x**4/8 - 2*x**3/3 - 7*x**2/2 - 4*x + 3
-x**3 + 3*x**2 + x/2,-x**3 + 3*x**2 + x/2
-2*x**3 - cos(2*x) + exp(-x)/2,-31*x**4/48 - 25*x**3/12 + 9*x**2/4 - x/2 - 1/2
-3*x*cos(x) - 2*exp(-x),-x**4/12 + 11*x**3/6 - x**2 - x - 2
-3*x**2 - exp(x) + sin(2*x)/2,-x**4/24 - 5*x**3/6 - 7*x**2/2 - 1
-2*x*sin(x) + x/3 - exp(x) + cosh(x)/3,11*x**4/36 - x**3/6 - 7*x**2/3 - 2*x/3 - 2/3
-x**2 - 2*x*sin(x) + sqrt(x + 1)/2 + sinh(x)/3,241*x**4/768 + 25*x**3/288 - 49*x**2/16 + 7*x/12 + 1/2
-3*sqrt(x + 1) + cos(x),61*x**4/384 - 3*x**3/16 - x**2/8 - 3*x/2 - 2
sin(x)**2/2 - 2/(x + 1),-13*x**4/6 + 2*x**3 - 3*x**2/2 + 2*x - 2
sin(x)**2 + sin(x)/2 + sin(2*x)/3 - cosh(x),-3*x**4/8 - 19*x**3/36 + x**2/2 + 7*x/6 - 1
-3*x**3 + x - exp(x) + 3*exp(-x),x**4/12 - 11*x**3/3 + x**2 - 3*x + 2
-x*sin(x) - 2*cos(x) - 3*tanh(x),x**4/12 + x**3 - 3*x - 2
x + sin(x) + cosh(x)/3 - exp(-x),-x**4/36 - x**2/3 + 3*x - 2/3
x*sin(x) - 3*x,-x**4/6 + x**2 - 3*x
x**2/3 + sin(x)**2/3 - 2*cos(2*x) - 2*sinh(x),-13*x**4/9 - x**3/3 + 14*x**2/3 - 2*x - 2
sqrt(x + 1) + exp(x) + 2*log(x + 1),-191*x**4/384 + 43*x**3/48 - 5*x**2/8 + 7*x/2 + 2
3*log(x + 1) - 2*sin(x)**2,-x**4/12 + x**3 - 7*x**2/2 + 3*x
x*cos(x)/3 - 3*cos(x)**2 - 3*cos(2*x) + tanh(x)/3,-3*x**4 - 5*x**3/18 + 9*x**2 + 2*x/3 - 6
x*cos(x)/2 + 2*exp(x) - 2*tan(x),x**4/12 - 7*x**3/12 + x**2 + x/2 + 2
-3*cos(x)**2 - 3*sinh(x) + 1/(x + 1),-3*x**3/2 + 4*x**2 - 4*x - 2
x - 2*sin(x) + cos(x) + cosh(x),x**4/12 + x**3/3 - x + 2
x**3/2 - 3*x*sin(x) + exp(x)/2 - cos(x)**2,3*x**4/16 + 7*x**3/12 - 7*x**2/4 + x/2 - 1/2
-x*sin(x) - 3*sin(x)**2 - cos(x)**2,5*x**4/6 - 3*x**2 - 1
x**3/3 - x**2 + sqrt(x + 1) + cos(2*x)/2,113*x**4/384 + 19*x**3/48 - 17*x**2/8 + x/2 + 3/2
-3*sin(2*x) + 2*exp(-x),x**4/12 + 11*x**3/3 + x**2 - 8*x + 2
-2*x*cos(x) + 3*sin(x)**2 + 3*sin(x),-x**4 + x**3/2 + 3*x**2 + x
-2*x - 2*exp(x) - sin(x)**2 - sinh(x),x**4/4 - x**3/2 - 2*x**2 - 5*x - 2
exp(x)/3 - tan(x) + cosh(x)/3 + 2*exp(-x),x**4/9 - 11*x**3/18 + 4*x**2/3 - 8*x/3 + 8/3
-2*x*sin(x) - 3*exp(-x),5*x**4/24 + x**3/2 - 7*x**2/2 + 3*x - 3
-x**3 + cos(x)**2/3 - 3*cos(x),-x**4/72 - x**3 + 7*x**2/6 - 8/3
sin(x)**2/3 - 3*tan(x),-x**4/9 - x**3 + x**2/3 - 3*x
2*x*cos(x) - 3*cos(x) + sinh(x)/3,-x**4/8 - 17*x**3/18 + 3*x**2/2 + 7*x/3 - 3
3*x*sin(x) + 2*log(x + 1) + tanh(x)/3,-x**4 + 5*x**3/9 + 2*x**2 + 7*x/3
cos(x)**2/3 + cosh(x)/2 + tanh(x)/3 + 1/(2*(x + 1)),91*x**4/144 - 11*x**3/18 + 5*x**2/12 - x/6 + 4/3
x**2 + x*cos(x)/3 + 2*tan(x) + exp(-x),x**4/24 + x**3/3 + 3*x**2/2 + 4*x/3 + 1
-3*x*cos(x) - 3*sin(x)**2 + 3*cosh(x),9*x**4/8 + 3*x**3/2 - 3*x**2/2 - 3*x + 3
-3*sqrt(x + 1) + sin(2*x),15*x**4/128 - 73*x**3/48 + 3*x**2/8 + x/2 - 3
2*x**3 - 2*x - 3*sin(2*x),6*x**3 - 8*x
-3*x*cos(x) + 3*sin(x)**2 - 2*exp(-x),-13*x**4/12 + 11*x**3/6 + 2*x**2 - x - 2
-log(x + 1) - 2*exp(-x),x**4/6 - x**2/2 + x - 2
-2*exp(x) + 2*cosh(x) - 2*exp(-x) - 3/(x + 1),-37*x**4/12 + 3*x**3 - 4*x**2 + 3*x - 5
exp(x)/3 - 3*tanh(x),x**4/72 + 19*x**3/18 + x**2/6 - 8*x/3 + 1/3
-3*sin(x) - 3*tanh(x) + exp(-x) + 3/(x + 1),73*x**4/24 - 5*x**3/3 + 7*x**2/2 - 10*x + 4
-3*x*cos(x) + x - 2*tan(x),5*x**3/6 - 4*x
x + cos(x)**2 - 3*sinh(x),x**4/3 - x**3/2 - x**2 - 2*x + 1
x**3/3 - x*sin(x) - cos(2*x),-x**4/2 + x**3/3 + x**2 - 1
3*x**2 + 2*sin(2*x) - 3*cosh(x),-x**4/8 - 8*x**3/3 + 3*x**2/2 + 4*x - 3
-2*cos(x) + 1/(x + 1),11*x**4/12 - x**3 + 2*x**2 - x - 1
-2*x*sin(x) - 2*cosh(x) + 1/(3*(x + 1)),7*x**4/12 - x**3/3 - 8*x**2/3 - x/3 - 5/3
x*sin(x)/3 + cos(2*x) + cosh(x),47*x**4/72 - 7*x**2/6 + 2
sin(2*x) + 3*cos(2*x) - 3/(x + 1),-x**4 + 5*x**3/3 - 9*x**2 + 5*x
-3*x*sin(x) + 3*sin(x)**2 - 3*cos(x) - 3*exp(-x),-3*x**4/4 + x**3/2 + 3*x - 6
x*cos(x) + 2*sin(x)**2 - 3*sinh(x),-2*x**4/3 - x**3 + 2*x**2 - 2*x
2*cos(x) - cos(2*x) - sinh(x),-7*x**4/12 - x**3/6 + x**2 - x + 1
3*x**3 + sin(2*x)/3,23*x**3/9 + 2*x/3
-x**2 + 3*sin(2*x) - 2*exp(-x),-x**4/12 - 11*x**3/3 - 2*x**2 + 8*x - 2
2*exp(x) + sin(x)/2 + 2*exp(-x),x**4/6 - x**3/12 + 2*x**2 + x/2 + 4
x - cosh(x),-x**4/24 - x**2/2 + x - 1
cos(x)**2/2 + 3*cos(2*x) + 3*exp(-x),55*x**4/24 - x**3/2 - 5*x**2 - 3*x + 13/2
-sin(x)**2 + exp(-x)/2,17*x**4/48 - x**3/12 - 3*x**2/4 - x/2 + 1/2
-3*x*sin(x) + sqrt(x + 1)/3 + sinh(x),187*x**4/384 + 3*x**3/16 - 73*x**2/24 + 7*x/6 + 1/3
3*x**2 + x + cos(x)/2 - 2*cos(2*x),-21*x**4/16 + 27*x**2/4 + x - 3/2
sin(x)**2/2 + 3*tanh(x),-x**4/6 - x**3 + x**2/2 + 3*x
2*x**3 + sin(x)**2/2 + cos(2*x)/2,x**4/6 + 2*x**3 - x**2/2 + 1/2
2*x**2 + tanh(x),-x**3/3 + 2*x**2 + x
-3*x - 3*exp(x) + 3*sinh(x),-x**4/8 - 3*x**2/2 - 3*x - 3
2*exp(x) + sin(2*x)/2 - 3*cos(x)**2 + exp(-x)/3,-65*x**4/72 - 7*x**3/18 + 25*x**2/6 + 8*x/3 - 2/3
-2*x**3 + sqrt(x + 1)/3 + log(x + 1)/3,-37*x**4/384 - 269*x**3/144 - 5*x**2/24 + x/2 + 1/3
2*x*cos(x) - 2*x - cos(2*x),-2*x**4/3 - x**3 + 2*x**2 - 1
3*x**2 + sinh(x),x**3/6 + 3*x**2 + x
3*x**3 - cos(x) - 2*sinh(x),-x**4/24 + 8*x**3/3 + x**2/2 - 2*x - 1
-2*x - 2*exp(x) + 2*exp(-x),-2*x**3/3 - 6*x
-sin(x) + 3*cos(x)**2,x**4 + x**3/6 - 3*x**2 - x + 3
2*tan(x) + sinh(x)/3 + cosh(x)/2,x**4/48 + 13*x**3/18 + x**2/4 + 7*x/3 + 1/2
x**2/2 + 2*sin(x) + 2*cos(x)**2 + cos(2*x)/3,8*x**4/9 - x**3/3 - 13*x**2/6 + 2*x + 7/3
2*cos(2*x) + cosh(x)/2,65*x**4/48 - 15*x**2/4 + 5/2
x/2 + 2*exp(x) + 2*log(x + 1) - exp(-x),-11*x**4/24 + 7*x**3/6 - x**2/2 + 11*x/2 + 1
x*cos(x)/2 + exp(x) - 3*sinh(x),x**4/24 - 7*x**3/12 + x**2/2 - 3*x/2 + 1
cos(2*x)/3 - 3*exp(-x),7*x**4/72 + x**3/2 - 13*x**2/6 + 3*x - 8/3
-3*x + cos(x)**2/3 - 3*cos(x) + tanh(x)/3,-x**4/72 - x**3/9 + 7*x**2/6 - 8*x/3 - 8/3
-x**3 + 2*sin(2*x) - cos(x),-x**4/24 - 11*x**3/3 + x**2/2 + 4*x - 1
x*cos(x) - sin(x)**2 - 3*sin(2*x) - 2*cos(x),x**4/4 + 7*x**3/2 - 5*x - 2
cos(x)/3 + 3*tan(x) + 2*tanh(x) + exp(-x)/2,5*x**4/144 + x**3/4 + x**2/12 + 9*x/2 + 5/6
x*sin(x) + 2*sinh(x),-x**4/6 + x**3/3 + x**2 + 2*x
-2*sin(x) + cos(2*x)/2 - tan(x),x**4/3 - x**2 - 3*x + 1/2
-3*sqrt(x + 1) - 2*cos(2*x) - 2*sinh(x),-467*x**4/384 - 25*x**3/48 + 35*x**2/8 - 7*x/2 - 5
3*sin(x) - 2*sin(2*x) + tan(x)/3,41*x**3/18 - 2*x/3
sin(x)**2/2 - 2*sin(x) + 2*cos(x)**2,x**4/2 + x**3/3 - 3*x**2/2 - 2*x + 2
2*x*cos(x) - tanh(x) - 2/(x + 1),-2*x**4 + 4*x**3/3 - 2*x**2 + 3*x - 2
2*x*sin(x) - 3*sin(2*x),-x**4/3 + 4*x**3 + 2*x**2 - 6*x
-cos(x)**2 - 2*tan(x),-x**4/3 - 2*x**3/3 + x**2 - 2*x - 1
x*sin(x)/3 + sin(x)**2 + sinh(x)/3 - 3*cosh(x),-37*x**4/72 + x**3/18 - x**2/6 + x/3 - 3
x**3/3 + 3*x*sin(x) + cos(x) - 3*tan(x),-11*x**4/24 - 2*x**3/3 + 5*x**2/2 - 3*x + 1
2*x**2 + 2*x*sin(x) - 3*tanh(x),-x**4/3 + x**3 + 4*x**2 - 3*x
x**3 - 2*log(x + 1) + 2*cosh(x),7*x**4/12 + x**3/3 + 2*x**2 - 2*x + 2
-2*exp(x) - 2*sinh(x),-x**4/12 - 2*x**3/3 - x**2 - 4*x - 2
sqrt(x + 1)/2 + 3*exp(x) - 3/(x + 1),-741*x**4/256 + 113*x**3/32 - 25*x**2/16 + 25*x/4 + 1/2
-sqrt(x + 1) + exp(x) - 2*tan(x) + 2*exp(-x),21*x**4/128 - 43*x**3/48 + 13*x**2/8 - 7*x/2 + 2
sinh(x)/3 + 3*cosh(x) + 1/(3*(x + 1)),11*x**4/24 - 5*x**3/18 + 11*x**2/6 + 10/3
-3*cos(x)**2 + cos(2*x) - 3*exp(-x),-11*x**4/24 + x**3/2 - x**2/2 + 3*x - 5
log(x + 1) - 2*cos(x) + tanh(x)/3,-x**4/3 + 2*x**3/9 + x**2/2 + 4*x/3 - 2
2*x*sin(x) + log(x + 1)/2 - 2*cos(x)**2,-9*x**4/8 + x**3/6 + 15*x**2/4 + x/2 - 2
x**2/2 - 2*sin(2*x),8*x**3/3 + x**2/2 - 4*x
3*x**2 + 2*sqrt(x + 1) + sin(x)/2 - cos(x)**2,-79*x**4/192 + x**3/24 + 15*x**2/4 + 3*x/2 + 1
3*x**2 + cos(x)/2,x**4/48 + 11*x**2/4 + 1/2
